Destination Airport,Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
ABI,1,345,5,122,15,181,9,46,98,205,41,35,12,3,1,11
ABQ,4,3502,476,992,307,844,31,109,231,892,90,149,54,92,4,153
ACY,2,246,2,99,4,65,5,54,69,79,35,19,3,20,1,22
AEX,2,2894,100,353,209,760,21,86,217,813,75,130,45,91,1,135
AGS,1,4,3,4,3,4,1,4,3,4,4,3,1,4,1,2
AMA,2,3358,153,395,187,702,25,111,245,745,91,165,57,103,1,156
ANC,1,779,31,125,23,175,16,83,134,174,54,61,32,41,1,67
ASE,1,2137,95,71,143,645,40,131,266,677,80,183,67,109,3,159
ATL,8,3772,1229,2280,719,1122,43,146,445,1119,113,327,126,212,14,274
AUS,6,3676,873,1142,690,1104,27,119,306,1107,109,184,141,142,6,215
BDL,3,159,9,116,9,65,5,47,61,74,28,27,4,16,1,21
BFL,1,1000,35,71,63,298,30,99,155,309,62,82,17,53,1,86
BHM,4,3205,374,638,353,946,27,114,245,961,92,166,73,103,4,168
BNA,5,3765,608,1689,437,1008,29,123,307,1025,91,206,95,124,7,214
BOI,2,2083,18,194,50,289,28,101,173,305,63,103,35,47,2,111
BOS,4,3764,464,901,504,930,43,139,310,935,98,158,107,190,2,210
BPT,1,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1
BRO,3,3028,262,557,213,822,24,100,232,856,87,140,58,94,2,143
BTR,4,3012,398,553,381,1007,21,101,266,1014,89,179,91,129,1,176
BWI,4,3618,289,755,294,902,40,117,242,912,84,140,65,115,7,167
BZN,3,262,25,164,22,123,14,74,74,136,39,36,8,31,1,21
CAE,2,2080,63,248,75,350,23,93,146,385,71,77,19,74,1,81
CAK,2,331,5,66,6,87,6,60,73,97,42,23,4,14,1,23
CHA,1,362,2,114,8,85,7,61,54,100,41,26,10,1,1,10
CHS,4,2551,210,615,187,654,30,104,176,691,74,111,41,77,3,113
CID,1,97,3,63,9,64,3,39,51,67,26,20,1,19,1,18
CLE,5,3397,620,1000,441,950,30,127,278,965,90,167,91,92,2,188
CLL,3,2858,104,313,201,752,15,78,196,813,76,116,38,74,1,111
CLT,6,3772,811,2099,488,1069,38,156,361,1077,112,242,112,140,11,255
CMH,4,3136,245,741,254,807,28,117,223,821,83,130,56,102,4,156
COS,4,3702,260,526,216,755,32,120,277,796,96,181,68,92,6,187
CRP,4,3021,357,648,355,980,27,105,240,997,93,156,72,119,1,168
CRW,2,2056,31,180,77,327,20,90,139,351,68,82,19,62,1,66
CVG,7,3316,382,1058,311,890,28,117,266,914,90,169,71,105,3,183
DAL,3,1553,465,1171,317,1031,18,103,225,1046,82,126,39,130,4,150
DAY,3,212,14,98,7,80,8,55,56,97,36,18,6,17,1,16
DCA,4,3594,622,597,429,962,46,143,285,968,102,166,108,136,4,197
DEN,7,3772,1017,1965,793,1222,38,169,414,1231,130,259,165,204,8,294
DFW,8,3772,1023,2666,709,1179,35,166,474,1190,138,316,203,238,17,326
DRO,1,33,5,27,4,23,4,26,17,25,16,4,1,6,1,3
DRT,1,98,5,35,14,84,5,34,55,97,19,15,1,8,1,16
DSM,4,2646,226,612,163,591,25,104,195,647,71,118,40,86,2,130
DTW,7,3772,977,1610,472,1075,40,140,397,1090,105,289,120,148,16,233
ECP,2,1977,50,225,121,561,15,88,184,609,72,98,29,81,1,95
EGE,1,1236,50,46,52,275,22,96,125,301,50,56,18,57,1,50
ELP,4,3073,350,704,321,849,32,113,242,885,92,156,66,110,4,156
EWR,4,3772,779,1101,766,1119,56,184,424,1125,112,257,174,258,3,278
FCA,1,10,2,10,3,10,2,8,10,10,6,5,1,4,1,4
FLL,2,3771,497,894,531,1067,33,137,324,1065,107,179,115,177,6,226
GJT,2,1012,12,105,31,106,17,76,86,115,53,46,5,54,1,35
GPT,2,2861,141,296,270,864,21,102,231,899,86,137,65,112,2,146
GRK,3,3075,98,393,177,769,19,100,219,819,79,144,50,90,1,125
GRR,4,2623,143,418,103,455,27,95,152,488,70,90,27,66,2,85
GSO,1,4,1,4,1,4,1,4,4,4,4,1,1,1,1,1
GSP,4,2397,122,429,152,546,26,85,178,554,67,113,26,68,1,111
GUC,3,310,46,147,28,139,17,58,76,148,36,26,8,29,1,24
HDN,3,1309,80,392,63,271,22,86,126,285,49,53,15,45,1,48
HNL,1,3529,11,105,26,250,48,126,227,262,75,145,32,71,1,78
HOB,2,3241,58,390,114,529,25,98,215,565,80,144,38,94,1,126
HRL,4,2939,250,530,227,780,23,88,218,817,79,137,60,83,1,139
HSV,3,2848,124,441,201,693,24,93,211,712,78,124,47,88,1,147
IAD,3,3772,529,986,397,944,38,135,316,973,99,190,114,125,2,219
ICT,4,3481,326,696,288,912,21,121,237,941,91,154,79,114,3,158
ILG,1,40,1,14,1,28,1,24,28,32,16,9,1,8,1,8
IND,4,3360,491,1008,329,884,29,113,256,896,84,162,78,95,4,173
ISN,1,537,6,100,35,106,8,81,69,117,42,24,3,31,1,9
JAC,2,791,60,185,54,280,22,76,123,302,50,58,20,37,1,63
JAN,2,2882,188,391,347,937,22,106,245,955,97,153,72,114,2,167
JAX,4,3422,251,874,227,746,33,100,226,794,87,134,58,95,1,157
JFK,4,1347,15,392,71,514,27,108,184,529,55,79,16,74,1,113
JLN,1,148,4,89,4,70,4,39,47,85,31,19,6,1,1,7
LAS,4,3772,717,1641,759,1219,45,151,364,1214,114,209,141,201,7,266
LAX,6,3772,887,1692,883,1183,53,162,413,1190,123,280,167,177,12,271
LBB,2,3270,144,402,185,727,25,106,240,768,85,155,64,102,1,134
LCH,2,2915,124,362,206,873,21,87,221,913,73,128,61,93,1,136
LEX,2,2390,64,295,109,477,23,84,150,511,64,83,11,62,1,91
LFT,3,2909,328,508,442,1005,23,117,257,1019,102,179,91,128,2,163
LGA,8,3672,717,1039,539,1006,49,160,399,1015,106,258,134,259,2,233
LIT,3,3228,370,613,355,921,22,112,248,955,94,162,74,116,4,171
LRD,2,2906,97,315,156,666,26,97,204,717,79,128,49,87,1,133
MAF,4,3622,536,966,399,988,27,117,271,1018,96,164,99,124,1,190
MCI,5,3359,501,1022,411,997,23,109,266,1002,94,171,81,118,3,181
MCO,6,3771,669,1619,690,1116,38,148,375,1127,112,221,143,197,14,263
MDW,1,749,86,641,59,478,9,73,134,501,44,52,11,40,6,92
MEI,1,1016,19,131,41,356,14,67,149,389,53,76,24,2,1,43
MEM,5,3569,398,1285,373,994,23,108,241,1024,87,158,76,99,3,174
MFE,4,3657,612,1053,446,1020,29,107,272,1031,91,173,82,121,6,184
MIA,8,3769,607,2029,575,1118,39,143,383,1122,102,240,133,150,11,266
MKE,3,3358,184,498,252,697,25,116,237,719,82,149,53,96,6,169
MLU,2,3033,149,335,183,698,17,90,204,754,77,122,34,81,1,120
MOB,2,2939,174,400,330,900,21,107,230,918,87,149,76,118,1,144
MSN,2,11,8,10,10,11,8,8,9,10,9,1,1,1,1,1
MSP,7,3771,920,1538,460,1018,33,138,373,1021,103,257,124,128,9,225
MSY,7,3719,1062,1963,740,1125,25,124,349,1143,115,220,141,138,7,236
MTJ,3,963,71,298,49,155,29,74,100,156,43,62,14,34,2,24
MYR,1,37,2,22,5,21,5,22,16,23,13,2,1,3,1,1
OAK,1,1054,4,134,30,261,15,70,119,273,43,48,7,58,1,44
OKC,4,3473,643,1052,438,984,20,112,239,985,82,176,75,99,3,159
OMA,4,3280,425,978,352,891,24,103,246,914,84,156,77,108,3,156
ONT,2,1392,144,438,131,441,44,96,169,455,65,103,20,50,4,101
ORD,7,3772,1014,2015,854,1200,41,180,438,1211,122,285,193,254,9,275
ORF,4,2063,132,477,110,413,33,92,159,442,65,87,20,60,2,90
PBI,4,2066,194,661,166,512,33,98,177,539,66,88,23,88,2,114
PDX,1,3696,318,611,225,613,45,130,225,638,83,130,80,84,1,150
PHL,7,3725,498,1186,466,1157,40,149,321,1154,106,186,104,180,2,209
PHX,8,3760,699,1758,520,1123,47,140,325,1141,114,220,122,127,7,221
PIA,2,386,7,160,9,88,4,60,71,97,40,18,3,19,1,22
PIB,1,921,21,129,41,360,12,63,149,408,49,84,18,3,1,29
PIT,5,3003,491,896,275,833,35,110,237,862,82,142,64,83,4,156
PNS,4,3579,237,840,285,897,22,110,228,911,95,153,85,112,1,154
PSP,3,1903,78,298,109,492,23,104,178,514,64,112,16,57,1,111
RAP,2,149,13,90,20,75,7,46,33,79,25,10,2,13,1,5
RDU,5,2859,380,940,319,871,31,113,232,906,87,127,62,97,3,172
RIC,4,2379,81,364,113,460,29,95,194,481,65,125,14,74,1,115
RNO,2,551,56,223,48,192,25,81,93,197,42,52,11,32,1,29
RSW,4,3666,321,777,288,793,39,106,221,827,75,112,63,92,1,150
SAF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAN,3,3770,509,858,488,1037,48,129,298,1043,100,165,114,126,4,193
SAT,4,3772,1000,1159,716,1113,28,115,305,1110,103,181,138,126,6,216
SAV,4,2323,133,401,135,527,27,95,162,552,71,96,28,76,1,100
SDF,4,2798,231,567,219,703,27,103,210,733,83,131,39,86,2,141
SEA,3,3732,484,949,526,1103,49,148,303,1116,105,176,126,132,12,202
SFO,3,3772,783,983,711,1155,57,154,367,1160,116,229,145,241,1,248
SGF,2,1051,52,238,27,323,17,88,149,354,66,79,21,64,1,76
SHV,2,2935,176,449,341,946,16,98,253,962,83,173,78,108,1,167
SJC,2,3221,202,617,148,490,47,105,203,505,70,94,39,61,1,134
SJT,1,163,3,96,6,113,4,45,69,135,35,23,7,1,1,15
SJU,1,3674,75,331,137,674,30,111,215,709,77,117,64,69,1,132
SLC,6,3772,805,1296,441,1068,49,139,368,1073,109,258,120,111,7,230
SMF,2,3626,261,595,237,597,47,124,226,612,85,118,61,78,1,151
SNA,1,3760,420,418,382,833,43,136,263,851,99,149,93,94,2,163
SRQ,2,98,5,51,5,47,5,53,40,60,28,33,3,10,1,5
STL,4,3267,313,923,239,835,23,108,220,874,79,138,51,80,2,138
STT,1,790,4,82,17,136,12,90,86,147,47,41,4,39,1,18
TLH,1,314,2,112,9,81,8,56,64,88,35,32,7,2,1,8
TPA,4,3770,448,950,528,1010,31,116,288,1017,100,172,112,141,4,196
TUL,4,3485,567,1076,469,1017,25,121,288,1023,96,189,95,129,2,191
TUS,3,3428,288,778,265,716,38,122,233,735,94,150,66,90,11,169
TYR,1,1190,73,209,128,565,16,70,150,623,57,80,11,62,1,85
TYS,4,2864,166,303,233,757,26,106,238,793,86,158,48,98,1,142
VCT,1,902,21,127,37,393,14,63,141,429,53,67,11,4,1,39
VPS,2,2801,163,352,210,765,24,102,205,783,75,130,54,91,1,129
XNA,4,3003,285,600,318,838,27,114,247,859,87,150,69,111,1,155
